Cooperation Rate,Opponent Cooperation Rate,Last Move,Opponent Last Move,Penultimate Move,Opponent Penultimate Move,Penultimate + 1 Move,Opponent Penultimate + 1 Move,Copy Rate
0.5,0.5,1,1,0,0,1,1,0.0
0.5,0.5,1,1,0,0,1,1,0.0
0.5,0.49,1,1,0,0,1,1,0.010204081632653
0.5,1.0,1,1,0,1,1,1,0.5
0.5,0.5,1,0,0,1,1,0,1.0
0.5,0.0,1,0,0,0,1,0,0.5
0.5,0.5,1,0,0,1,1,0,1.0
0.5,0.51,1,0,0,1,1,0,0.9897959183673468
0.5,0.5,1,1,0,1,1,0,0.5102040816326531
0.5,0.5,1,0,0,1,1,1,0.5
0.5,0.5,1,1,0,0,1,1,0.0
0.5,0.5,1,1,0,0,1,1,0.0
1.0,0.0,1,0,1,0,1,0,0.0
0.01,1.0,0,1,0,1,0,1,0.0
0.51,0.5,0,0,1,1,0,0,0.0
1.0,0.0,1,0,1,0,1,0,0.0
0.5,0.5,0,1,1,1,1,0,0.0
0.5,0.5,0,0,0,1,1,1,0.0
0.67,0.33,0,0,1,1,1,0,0.0
0.34,0.67,0,0,0,1,1,1,0.0
0.49,0.5,1,1,0,0,1,1,0.0
0.0,1.0,0,1,0,1,0,1,0.0
0.5,0.5,0,0,1,1,0,0,0.0
0.0,1.0,0,1,0,1,0,1,0.0
0.5,0.5,0,0,1,1,0,0,0.0
0.99,0.0,1,0,1,0,1,0,0.0
0.5,0.5,1,1,1,0,0,0,0.0
0.5,0.5,1,0,0,0,0,1,0.0
0.66,0.33,1,1,1,0,0,0,0.0
0.33,0.67,1,1,0,0,0,1,0.0
1.0,0.5,1,1,1,0,1,1,0.5
1.0,0.01,1,0,1,0,1,0,0.010204081632653
1.0,0.0,1,0,1,0,1,0,0.0
1.0,1.0,1,1,1,1,1,1,1.0
1.0,0.5,1,0,1,1,1,0,0.5
1.0,0.0,1,0,1,0,1,0,0.0
1.0,0.99,1,1,1,1,1,1,0.9897959183673468
1.0,1.0,1,1,1,1,1,1,1.0
1.0,0.5,1,0,1,1,1,0,0.5
1.0,1.0,1,1,1,1,1,1,1.0
0.5,0.5,0,1,1,0,0,1,1.0
0.5,0.51,0,0,1,1,0,0,0.010204081632653
0.5,0.5,0,0,1,1,0,0,0.0
0.5,1.0,0,1,1,1,0,1,0.5
0.0,1.0,0,1,0,1,0,1,0.0
0.5,0.0,0,0,1,0,0,0,0.5
0.5,0.49,0,1,1,0,0,1,0.9897959183673468
0.5,0.5,0,1,1,0,0,1,1.0
0.5,0.5,0,1,1,0,0,0,0.5
0.5,0.5,0,0,1,0,0,1,0.5102040816326531
0.0,0.5,0,1,0,0,0,1,0.5
0.0,1.0,0,1,0,1,0,1,0.0
0.0,0.99,0,1,0,1,0,1,0.010204081632653
0.0,1.0,0,1,0,1,0,1,0.0
0.0,0.5,0,0,0,1,0,0,0.5
0.0,0.0,0,0,0,0,0,0,1.0
0.0,0.0,0,0,0,0,0,0,1.0
0.0,0.01,0,0,0,0,0,0,0.9897959183673468
0.0,0.0,0,0,0,0,0,0,1.0
0.0,0.5,0,1,0,0,0,1,0.5
0.5,0.5,0,1,1,0,0,1,1.0
0.5,0.5,1,0,1,1,0,1,1.0
0.5,0.5,1,1,0,1,0,0,1.0
0.99,1.0,1,1,1,1,1,1,1.0
0.49,0.5,1,0,0,1,1,0,1.0
0.0,0.0,0,0,0,0,0,0,1.0
0.0,0.0,0,0,0,0,0,0,1.0
0.5,0.5,0,1,1,0,0,1,1.0
0.0,0.0,0,0,0,0,0,0,1.0
0.33,0.34,0,0,1,0,0,1,1.0
0.51,0.5,0,1,1,0,0,1,1.0
0.5,0.5,0,0,1,0,1,1,1.0
0.5,0.5,0,1,0,0,1,0,1.0
1.0,1.0,1,1,1,1,1,1,1.0
0.5,0.5,1,0,0,1,1,0,1.0
0.01,0.0,0,0,0,0,0,0,1.0
0.5,0.5,1,0,0,1,1,0,1.0
1.0,1.0,1,1,1,1,1,1,1.0
0.67,0.66,1,1,0,1,1,0,1.0
1.0,1.0,1,1,1,1,1,1,1.0
0.5,0.5,1,1,1,0,0,1,0.5
0.33,0.67,0,0,1,1,0,1,0.6632653061224489
0.33,0.66,1,1,0,1,0,0,0.673469387755102
0.5,1.0,0,1,1,1,0,1,0.5
0.5,0.5,1,0,0,1,0,0,0.5102040816326531
0.0,0.0,0,0,0,0,0,0,1.0
0.0,0.0,0,0,0,0,0,0,1.0
0.66,0.67,1,1,1,0,0,1,0.336734693877551
0.0,0.0,0,0,0,0,0,0,1.0
0.99,0.01,1,0,1,0,1,0,0.010204081632653
0.5,0.5,0,1,1,0,1,1,0.5102040816326531
0.67,0.34,0,0,1,0,1,1,0.673469387755102
0.67,0.33,1,1,0,0,1,0,0.6632653061224489
1.0,1.0,1,1,1,1,1,1,1.0
0.5,0.5,0,0,0,1,1,0,0.5
0.5,0.0,1,0,0,0,1,0,0.5
0.34,0.33,0,0,0,1,1,0,0.336734693877551
1.0,1.0,1,1,1,1,1,1,1.0
0.01,0.99,0,1,0,1,0,1,0.010204081632653
1.0,1.0,1,1,1,1,1,1,1.0
